"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C4_04970C",1027.94102081165,1.24282856706025,0.155876127726984,7.97318091733108,1.54641537147994e-15,2.4024667378349e-14
"C4_05130C",574.343340431437,1.89184427738069,0.137227727539296,13.7861663331775,3.08736152195923e-43,2.76500465716643e-41
"C4_05200C",3.64843700343666,-4.10911123055004,1.68748665514522,-2.43504813387483,0.0148898088557671,0.0350111721743713
"C4_05310W",258.616102224614,1.09558772328738,0.209654527512057,5.2256812017779,1.73515098138359e-07,1.11939295303242e-06
"C4_05370W",597.769076992476,1.15887227646895,0.169119556360759,6.85238479455852,7.26288730111878e-12,7.80087895305350e-11
"C4_05540W",2434.40098116077,-1.29866305279443,0.240485146633077,-5.40017989042742,6.65741050943417e-08,4.63355771456618e-07
"C4_05560C",229.358967601821,-1.68625504233851,0.209930067392391,-8.03246082509297,9.55367478335696e-16,1.53514193748401e-14
"C4_05580C",760.048153521868,11.1926384172635,1.19539903725415,9.36309806888688,7.74322495047383e-21,1.88624959793543e-19
"C4_05700W",389.166958412009,3.85366115690374,0.284589603968166,13.5411171145057,8.94186484993637e-42,7.07220219949513e-40
"C4_05780C",32.7909781151481,-2.59008756051069,0.486504569342791,-5.32387098441765,1.01581966677937e-07,6.86608409621127e-07
"C4_05850C",624.270229452436,1.17812800217082,0.165621549259446,7.11337387821005,1.13239967993925e-12,1.34957222129746e-11
"C4_05870C",159.407456329803,4.08869275644766,0.350869951406366,11.6530148565281,2.21481904802283e-31,1.02183696988326e-29
"C4_05900C",345.519741729421,-6.01844342627762,0.355120373832901,-16.9476151461519,2.00420218372873e-64,3.69866402997211e-62
"C4_06150C",3.81561421856959,-2.71959906208481,1.18036439632017,-2.30403345828056,0.0212207654856314,0.0478646154842574
"C4_06210C",1660.91789842761,1.20962895036956,0.184335203763559,6.56211578511674,5.30495964709235e-11,5.08774870091219e-10
"C4_06380W",4.39556540761233,4.97355564061002,1.89254631673739,2.62797036808276,0.00858959976599881,0.0216878800834011
"C4_06560W",38.3948757149252,1.12469918323051,0.383817319915325,2.93029815194019,0.00338636916061624,0.00952123185048612
"C4_06570C",82861.185483105,-3.91560954829717,0.136103396153045,-28.7693743063852,5.18479642958414e-182,6.31508205123348e-179
"C4_06610C",9530.30544874142,2.47010429716572,0.143674930081501,17.1923125054909,3.03194014135687e-66,5.7701610815198e-64
"C4_06620C",91.8965331869039,1.81595473504307,0.371118039389366,4.89319985099895,9.92095707741157e-07,5.65188293745898e-06
"C4_06670W",541.138630473976,-1.83825273661996,0.262532100261945,-7.00201131513374,2.52313697422541e-12,2.8508171007482e-11
"C4_06710W",555.476183138134,-1.89945925323753,0.19964593689938,-9.51413929447932,1.83223321811187e-21,4.74821289289417e-20
"C4_06720W",3781.08784780394,1.00434838082793,0.205361961742672,4.89062517861233,1.00516210461102e-06,5.71562765367053e-06
"C4_06760W",2347.82535504868,-1.34689169371931,0.267747234643598,-5.03045977491487,4.8930503975622e-07,2.95915361679779e-06
"C4_07050W",284.611867458668,-1.21831439953729,0.183145606623068,-6.65216284464145,2.8881688148357e-11,2.87698044756756e-10
"C4_07090C",1755.32155034536,-1.01725471879848,0.232960805805243,-4.36663461599163,1.26175536232935e-05,5.99850909959855e-05
"C4_07110C",12217.4304657751,-1.0151950065681,0.0958882845339979,-10.587268418679,3.41409328727627e-26,1.21589638125804e-24
"C4_07140W",555.735783348192,1.29229509259102,0.130646703350881,9.89152469557744,4.53074060463117e-23,1.33942768360213e-21
"C5_00030W",866.248975695256,1.15768458942857,0.181100489809043,6.392498389426,1.63196946722615e-10,1.49679127340471e-09
"C5_00130C",1079.88184555712,1.0296146984229,0.154853624438209,6.64895447012124,2.95182283050742e-11,2.92302455899027e-10
"C5_00180W",1568.77475013297,1.20544138180879,0.162854720286115,7.40194315332697,1.34205955903247e-13,1.78452897696675e-12
"C5_00410W",3.67689255790477,4.9670313191606,1.81430255998398,2.73770837825663,0.00618689109156574,0.0162756659816999
"C5_00420C",675.127647320435,1.29981411265008,0.14714336293045,8.83365777948448,1.01307270634208e-18,2.11288108959702e-17
"C5_00540C",245.966345327922,9.77624173081899,1.20231952912363,8.13115107424469,4.252329831056e-16,7.01807281060461e-15
"C5_00590W",19668.258704827,1.7808813435967,0.210193575591405,8.47257742576563,2.40022033507369e-17,4.51152525944406e-16
"C5_00640C",755.247879808551,1.20412980520476,0.152886154194971,7.87598989290535,3.38055567396788e-15,5.10858165123185e-14
"C5_00650C",1698.21990670739,-1.27498249876016,0.182554732152704,-6.98411092238169,2.86665513211451e-12,3.22697407663168e-11
"C5_00820W",1061.89988963485,1.47567321425577,0.140830456608246,10.4783670364764,1.08602700093578e-25,3.69491867916141e-24
"C5_00900C",1047.32258817981,1.30369680386223,0.124914512186419,10.4367121245019,1.68547512638723e-25,5.63985907675725e-24
"C5_01050C",472.037175715003,1.17128515838999,0.22257508731976,5.26242704201339,1.42166085098781e-07,9.3700374269651e-07
"C5_01060C",358.753800202264,1.17604691790069,0.190073940204998,6.18731277224172,6.11984652763338e-10,5.3318834554059e-09
"C5_01140C",1261.99438262249,1.49288858282494,0.166167576196154,8.98423517391051,2.60540018261772e-19,5.70751334969134e-18
"C5_01250W",570.038234186797,-1.14663818543831,0.294915979045031,-3.88801647557806,0.000101066767868404,0.000401236386126843
"C5_01700W",820.275341893591,1.72009707501638,0.181813450172192,9.46078012043283,3.05654204440611e-21,7.75597543768051e-20
"C5_01800C",911.96210586151,1.91990248872348,0.199128377039241,9.64153134409937,5.33855505161658e-22,1.45141965465826e-20
"C5_02000C",6464.28677106057,1.76787747239944,0.215212181662792,8.21457902029663,2.12909856521954e-16,3.67314738305581e-15
"C5_02040W",803.380595612549,1.37407583935372,0.144727471517131,9.49422956781967,2.21845744127034e-21,5.72474822768489e-20
"C5_02190C",870.739647879032,1.32481394390241,0.185088323595023,7.15773917106261,8.20184156249796e-13,9.91055855468503e-12
"C5_02200W",47.3380139037797,-1.11031710055194,0.360023495755705,-3.08401288705153,0.0020422874868951,0.00607004919238221
"C5_02340C",904.477807296753,1.10151449485049,0.181571583365039,6.06655774233109,1.3068075721091e-09,1.11307106491531e-08
"C5_02460C",329.990911123401,-3.5841087719433,0.51628005249048,-6.94217945212863,3.86096312360646e-12,4.27513916777515e-11
"C5_02490C",1232.60686684701,1.20922121552675,0.161338874143509,7.49491541915166,6.63411289467439e-14,9.1822153474016e-13
"C5_02520W",294.982684918141,-1.4434126952167,0.170962266878924,-8.44287293077908,3.0963164145334e-17,5.78422299524798e-16
"C5_02590C",416.885479602574,1.98827135399714,0.236963355889747,8.39062793709857,4.83552395199874e-17,8.84334560590761e-16
"C5_02600W",1072.73357139243,-2.1812391798482,0.480522653058568,-4.53930562058714,5.6439781893989e-06,2.84299645768729e-05
"C5_02630C",359.894751854216,-2.44758327603356,0.614797795383999,-3.98111914910953,6.85915539129444e-05,0.000281484207095574
"C5_02680W",218.184972759651,-1.17923118888101,0.304551464385322,-3.8720260014545,0.000107934434680477,0.000425175101684415
"C5_02770W",336.015492314932,1.05342823710918,0.182728519568228,5.76499081587451,8.16622880738492e-09,6.35963343183813e-08
"C5_02790C",121.345424191187,-1.8375856076219,0.455595091973899,-4.03337445901892,5.49815599565287e-05,0.000229340890503602
"C5_02860C",1843.82372850906,-1.00141463043786,0.155412878183552,-6.44357560417307,1.166910984341e-10,1.0833060814995e-09
"C5_02890W",4892.59020930472,1.36930673065483,0.19723303174036,6.94258318990607,3.84994092600571e-12,4.27069949715388e-11
"C5_02940C",1709.22986122622,-1.87678192795621,0.148903962245962,-12.6039757414656,2.0076376347747e-36,1.24760338732428e-34
"C5_02960C",5.4621005962392,-4.56069937980518,1.3651650181163,-3.34076783339951,0.000835470542809971,0.0027348411984023
"C5_03050C",14.2214300209326,1.58932735534976,0.633150903410288,2.51018729782947,0.0120667140765022,0.0291536464970523
"C5_03130W",696.186037543968,-1.17312872686663,0.258381087070489,-4.54030416919248,5.61731314979653e-06,2.83190704323352e-05
"C5_03270W",3.70993266540071,-3.98799009298035,1.65643603586753,-2.40757264791798,0.0160589667874534,0.0374499848668848
"C5_03290C",307.146639079091,1.54855345115089,0.240609587928921,6.43595903421917,1.22696124972503e-10,1.13732024517891e-09
"C5_03350W",4274.2609124366,1.18069954133381,0.127759460672803,9.24158207240422,2.42879095965867e-20,5.68897574781588e-19
"C5_03410C",516.816457124315,1.74929826180439,0.219066192360661,7.98524976836419,1.40238064310127e-15,2.18427061802731e-14
"C5_03440W",411.828134601183,-2.03564047458568,0.285159622983413,-7.13859996477862,9.42862897287216e-13,1.13478953448204e-11
"C5_03480C",604.054973692569,-1.08294893181115,0.174220911999842,-6.21595260511627,5.10142013064354e-10,4.48306617541402e-09
"C5_03490C",464.229264625618,-1.8591886962746,0.193125733445517,-9.626830475179,6.1600231053833e-22,1.66731292052375e-20
"C5_03500W",336.012058508758,-1.61035307216231,0.494072548449156,-3.25934536783524,0.0011166963650971,0.00354386704712942
