baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2169.555186,-1.036699995,0.192673379,-5.380608369,7.42E-08,9.48E-07
1169.400376,1.084640834,0.148025875,7.327373249,2.35E-13,1.04E-11
396.5378129,-1.089639432,0.212697298,-5.122958496,3.01E-07,3.35E-06
192.5552577,1.740702961,0.210070404,8.28628368,1.17E-16,1.03E-14
291.786088,1.298401027,0.190314702,6.822389501,8.95E-12,2.70E-10
34.63288566,-1.334984531,0.373100154,-3.578086245,0.000346119,0.001663667
227.7770625,-1.329131412,0.285529581,-4.65496922,3.24E-06,2.80E-05
15.9774558,-2.284624809,0.790883142,-2.888700855,0.003868369,0.013190575
239.8487704,-2.020834882,0.795672137,-2.539783396,0.011092114,0.032077248
10596.40709,-1.750607542,0.583484175,-3.000265672,0.002697442,0.009749212
42.35652804,-1.919374521,0.561494159,-3.418333907,0.000630058,0.002776448
20.33541724,1.87005758,0.513430753,3.642278082,0.000270236,0.00135118
309.3567704,1.562122659,0.25120215,6.218587926,5.02E-10,1.03E-08
434.8851156,1.428612605,0.254535013,5.61263689,1.99E-08,2.88E-07
1551.175635,1.091263953,0.159754661,6.830873946,8.44E-12,2.57E-10
1746.775131,-1.779018693,0.173806223,-10.2356444,1.37E-24,4.40E-22
198.5489774,1.16480936,0.260755271,4.467059683,7.93E-06,6.21E-05
853.9623335,1.141167072,0.215532063,5.29465108,1.19E-07,1.46E-06
194.6662436,-1.067231645,0.266760555,-4.000710092,6.32E-05,0.000384985
132.4253428,1.116629981,0.390923199,2.856392216,0.004284855,0.014456933
419.4380871,1.107543822,0.195182752,5.674393909,1.39E-08,2.10E-07
73.99502679,-1.341633975,0.347389873,-3.862041119,0.000112444,0.000629717
451.3204935,1.846105862,0.15377482,12.00525458,3.33E-33,1.85E-30
2048.049893,-1.20044788,0.154077709,-7.791184664,6.64E-15,4.00E-13
9.538010929,-2.088537074,0.771935295,-2.705585674,0.006818406,0.021294406
172.2086683,1.109540341,0.273535021,4.056300863,4.99E-05,0.00031237
496.8484828,-1.020728263,0.255260921,-3.99876432,6.37E-05,0.000387775
2387.303495,-1.072463135,0.23555019,-4.553013237,5.29E-06,4.32E-05
938.0701496,-1.354500022,0.225015901,-6.019574686,1.75E-09,3.18E-08
1099.338664,1.036408558,0.151906729,6.822663898,8.94E-12,2.70E-10
72.7310082,-1.080703582,0.274578503,-3.935863776,8.29E-05,0.000485431
606.841397,-1.599297587,0.224731108,-7.116494007,1.11E-12,4.19E-11
6.897574446,6.457588536,1.575985359,4.097492719,4.18E-05,0.000268017
9.207660799,-2.057619348,0.753274309,-2.731567137,0.00630339,0.019941633
412.9177899,1.223445779,0.223161867,5.482324536,4.20E-08,5.62E-07
399.4182431,1.891391987,0.205099003,9.221848747,2.92E-20,5.74E-18
289.9998685,-1.333752467,0.290960209,-4.583968612,4.56E-06,3.79E-05
6161.143376,-1.627389218,0.151621925,-10.73320509,7.11E-27,2.89E-24
557.2838172,-1.062912546,0.22662027,-4.690280122,2.73E-06,2.41E-05
8269.496269,-2.444447179,0.345625862,-7.072523936,1.52E-12,5.42E-11
294.0510884,-1.363081549,0.217730508,-6.260406795,3.84E-10,8.09E-09
37.47781019,-1.047032504,0.387453106,-2.702346396,0.006885199,0.021415149
483.5524823,1.048296557,0.153169454,6.844031426,7.70E-12,2.37E-10
814.9834689,1.053342304,0.201321784,5.232132776,1.68E-07,1.98E-06
308.110246,-1.209620405,0.299900462,-4.033406274,5.50E-05,0.000341277
6059.377419,1.075643731,0.165316001,6.50659175,7.69E-11,1.90E-09
1605.967617,-2.356333111,0.21478124,-10.97085161,5.28E-28,2.47E-25
294.9509363,-1.109002083,0.310592312,-3.570603775,0.000356159,0.001705197
252.7284277,-1.082164184,0.223794487,-4.835526539,1.33E-06,1.26E-05
259.1004294,-1.037228789,0.274511571,-3.778451976,0.000157806,0.000848975
468.48011,-1.703886644,0.180420956,-9.443950883,3.59E-21,8.10E-19
217.2424005,1.663019628,0.29962133,5.550404663,2.85E-08,3.94E-07
3781.087848,1.31591409,0.205387942,6.406968585,1.48E-10,3.45E-09
6.732930938,-3.059356513,1.131608237,-2.703547406,0.006860366,0.021370655
555.7357833,1.183136973,0.132231547,8.947463727,3.64E-19,5.19E-17
132.5359439,1.698677597,0.289605678,5.865484441,4.48E-09,7.37E-08
44.71276816,1.403922817,0.440841773,3.184641071,0.001449336,0.005710156
16.48786269,1.643551378,0.579613272,2.835599973,0.00457397,0.015280019
866.2489757,1.058283394,0.18172679,5.823485877,5.76E-09,9.29E-08
3.676892558,4.895476019,1.825308154,2.681999754,0.007318351,0.022566461
675.1276473,1.315773316,0.147965247,8.892448334,5.98E-19,7.91E-17
326.5189664,1.59637762,0.346377304,4.608782391,4.05E-06,3.43E-05
51.49860715,1.33175988,0.418778944,3.180102296,0.001472231,0.005784442
56.0905131,1.122304659,0.310056306,3.61968016,0.000294967,0.001459262
358.7538002,1.148131116,0.191867079,5.983992258,2.18E-09,3.85E-08
492.2901525,1.06331763,0.217913718,4.879535071,1.06E-06,1.04E-05
570.0382342,-1.853758369,0.297818209,-6.224462809,4.83E-10,9.98E-09
148.4229496,-1.264968065,0.307995436,-4.107100026,4.01E-05,0.000259024
164.6619718,2.60299617,1.030284949,2.526481797,0.011521136,0.033096093
18.21172733,1.540445391,0.528193586,2.916440927,0.003540498,0.012237021
2257.372055,1.216192068,0.223593734,5.439294062,5.35E-08,7.07E-07
