"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C2_03120W",1952.94212975738,1.53909778021046,0.23877786743313,6.44573048899301,1.15044941968824e-10,2.71559572321759e-09
"C2_03220C",525.310704557725,-1.97644766266754,0.210451874214876,-9.39144718972445,5.91814348402273e-21,1.24281013164477e-18
"C2_03390C",2017.5667075268,-1.32310578011336,0.272329464163098,-4.85847458400959,1.18293590220178e-06,1.13629016473326e-05
"C2_03500W",1338.32221157506,-1.4091972498996,0.169268407437704,-8.32522306572912,8.41700904554298e-17,7.53817427755247e-15
"C2_03690C",232.867865005143,-1.68517441113935,0.306333782098951,-5.50110536158564,3.77417576663339e-08,5.11909363447602e-07
"C2_03810C",12863.4789330032,1.08579402604646,0.132394097786695,8.20122682353877,2.37946080696725e-16,1.98505702937405e-14
"C2_03960W",5047.55001253657,1.14778611459993,0.164112104809239,6.99391501884701,2.6731951784281e-12,8.79986953331195e-11
"C2_04010C",887.811913995279,-1.86187881972428,0.424436414182772,-4.38670848567321,1.15078857582362e-05,8.5991440819213e-05
"C2_04460W",4428.09487463734,-1.17621408060578,0.181919937974711,-6.46555893598257,1.00925057908894e-10,2.41981733332743e-09
"C2_04480W",497.268154713818,-1.07642792343227,0.184557958541266,-5.83246548639941,5.46143041035963e-09,8.84577425507717e-08
"C2_04510W",477.456963320531,1.32203006869866,0.223558723381016,5.91356959238624,3.34771985272366e-09,5.66322608419085e-08
"C2_04570W",1279.51071833651,1.06312907324801,0.187585452140011,5.66743881852048,1.44947785690789e-08,2.16887472937814e-07
"C2_04680W",646.801143954664,1.08298749173578,0.142130350777075,7.61967789296743,2.54309512336231e-14,1.3585481843225e-12
"C2_05230C",1005.51627998498,1.22477913934646,0.218040479590536,5.61720989444943,1.94065625023599e-08,2.82066743769384e-07
"C2_05360C",285.113422757819,-1.90213576902135,0.319825574101819,-5.9474161013021,2.72408309577467e-09,4.71297331058742e-08
"C2_05480C",79.3429086203065,1.19294837609957,0.357387044138902,3.33797320206135,0.000843918880507525,0.00357254896199647
"C2_05620W",74.0488680362257,2.1500119690829,0.53363755674199,4.02897423901222,5.60207560784794e-05,0.00034706653562354
"C2_05660W",2670.76843677502,-1.09277383418814,0.167115386001696,-6.53903784883729,6.19158561833903e-11,1.57111485065353e-09
"C2_05710C",7031.67335969963,1.04796296285344,0.141497332375817,7.40623830327803,1.29932264953251e-13,6.1819335434789e-12
"C2_05950C",348.514026087311,-1.74417487983571,0.206951152076507,-8.4279544343436,3.51759971888328e-17,3.51183316196708e-15
"C2_05960C",131.623941822583,1.08107506390808,0.275655362609479,3.92183577955505,8.78768788719543e-05,0.000509200944177166
"C2_05990C",383.839079592751,-1.94773986013956,0.257048024371436,-7.57733837831433,3.52715990189721e-14,1.83593194893624e-12
"C2_06020W",1001.95324454309,1.30741326342651,0.258143812799101,5.0646701513005,4.09108090332595e-07,4.43184774735905e-06
"C2_06360C",647.287634931624,1.74196602740275,0.240487406708941,7.24348127513818,4.37311644425169e-13,1.80426536737490e-11
"C2_06390C",4149.08193142641,1.40519647142727,0.138866715778566,10.1190300609397,4.54901144716374e-24,1.38517398566136e-21
"C2_06590C",65.7489381900517,-1.01414759947241,0.380007660103451,-2.66875567507331,0.00761328092009375,0.023334112130534
"C2_06700W",784.336590434781,2.37120394962491,0.170629695956961,13.8967835365716,6.62523778586749e-44,6.7246163526555e-41
"C2_06810C",5798.21877448158,1.0165899563322,0.141676306450629,7.17544084681836,7.20745562005777e-13,2.88772399514157e-11
"C2_06890C",546.210207946808,-1.06432601335974,0.227676268181839,-4.67473409441907,2.94334728178829e-06,2.59031574365472e-05
"C2_06970W",243.627821093282,1.72166050816879,0.560013694476848,3.07431858390021,0.00210983996388467,0.00788277630678384
"C2_07270W",890.438021957724,-1.60578435311444,0.198323062359504,-8.09681100125211,5.64186215497474e-16,4.24184450911064e-14
"C2_07280W",19.4563391427328,-1.4450482934519,0.518412106955724,-2.78745089874091,0.00531245042522893,0.0173287750881865
"C2_07300C",228.274228893846,1.56835441225194,0.231330475140261,6.77971378955155,1.20414189101263e-11,3.54262034602268e-10
"C2_07570W",4671.1974561146,1.22078136474287,0.262962081287209,4.64242357212531,3.44346029207828e-06,2.97456357145485e-05
"C2_07900W",7227.76067099003,-3.31571787989198,0.479203192672558,-6.91923161321179,4.54099911520042e-12,1.42549920678199e-10
"C2_07960C",784.646664422328,1.23541327273636,0.207377605686397,5.95731283832346,2.56419107593701e-09,4.47447669124825e-08
"C2_08000C",2910.39081602366,1.05011005764868,0.131133801168527,8.0079281488922,1.1665702366456e-15,8.35813263667262e-14
"C2_08180C",672.657616562398,1.05076101849976,0.154768501995558,6.78924332116311,1.12723188540245e-11,3.34870350346388e-10
"C2_08510W",93.7736989198269,-1.16656191006887,0.261583618887667,-4.45961377485884,8.21074781877458e-06,6.40249093679094e-05
"C2_08580W",13.5966112553173,1.58232191543756,0.637526990141956,2.48196851255698,0.0130658820432255,0.0366518754690203
"C2_08830W",831.970545793902,-1.06452190260819,0.209562286302899,-5.07973987776382,3.77952017627867e-07,4.13236586598511e-06
"C2_09010W",592.323690775504,-1.2153842459654,0.172324150260166,-7.05289562798061,1.75232293533074e-12,6.13313027365758e-11
"C2_09220W",2057.85492616721,-1.82794248930181,0.222088703795578,-8.2306864692422,1.86143593988588e-16,1.57446456582014e-14
"C2_09660W",633.105455999204,1.05211090179087,0.213263982736668,4.9333735977818,8.08213529711345e-07,8.12214586789124e-06
"C2_09800C",126.588219070422,3.23628464367894,1.30200500717225,2.48561612732016,0.0129327384609104,0.0363621316837232
"C2_09890W",295.080447063329,1.07222707524902,0.220391642378344,4.86509862024776,1.14399749885194e-06,1.10411169065108e-05
"C2_10040W",5.41816461617291,4.3749254116885,1.48833381374637,2.9394786111028,0.00328764961298967,0.0115133905365768
"C2_10070W",70.8479378719475,-4.38988075703516,0.786088454771595,-5.58446155822335,2.34425361659983e-08,3.31241404294501e-07
"C2_10540W",309.965392294269,1.10519277487379,0.2275418339147,4.85709707028248,1.19119206269424e-06,1.13883197202636e-05
"C3_00090W",12095.7155160989,1.01514065102311,0.14401382586033,7.04891106780006,1.80323347235703e-12,6.23959764014451e-11
"C3_00100W",223.20748311773,1.145534249097,0.272675102487438,4.20109587801392,2.65626060858154e-05,0.000180946611926864
"C3_00320W",5032.04846077057,1.763687426625,0.442042369704283,3.98986058238007,6.61121436227122e-05,0.000399824185364764
"C3_00330W",1313.43588398923,1.00016955644905,0.163057665961791,6.13383952572597,8.57830520509433e-10,1.69616489282547e-08
"C3_00340W",324.943897894985,1.15313661869659,0.201143166992746,5.73291469920115,9.87192879401019e-09,1.51435885026504e-07
"C3_00810C",3127.02420500675,-1.0792661529724,0.167942346234496,-6.42640868828539,1.30653843258965e-10,3.06031502095036e-09
"C3_00920W",1034.43120991195,-3.42708573098354,1.38662321129571,-2.47153350893438,0.013453494231004,0.0375833852600067
"C3_01060W",64.9065058149102,-1.73046082318798,0.439648856888829,-3.93600664729022,8.28486789398449e-05,0.000485431489227414
"C3_01130C",1530.17197800307,-1.47749190812693,0.208552017395106,-7.08452465040309,1.39522376701654e-12,5.11862213321128e-11
"C3_01250W",1329.9073463657,-1.1043583828313,0.157192779026041,-7.02550326849523,2.1329601850684e-12,7.29759973430707e-11
"C3_01270W",27.9530246693535,-2.59631921251053,0.504825420650024,-5.14300410856381,2.70379707223903e-07,3.03803028965604e-06
"C3_01320C",314.273161137396,-1.26212881517049,0.293010939291075,-4.30744605721598,1.65150353953737e-05,0.000118464741528653
"C3_01430W",247.761178179841,1.09871036188369,0.244019246190433,4.50255616733712,6.71410027631256e-06,5.35896077100177e-05
"C3_01460C",1265.25983360534,-1.0132735172982,0.161308571052064,-6.28158510542607,3.35138252694353e-10,7.21198572052512e-09
"C3_01520C",985.461282889772,1.25203802663529,0.128935981913346,9.71054013050243,2.7189244716488e-22,7.19923914449618e-20
"C3_01680C",266.065871132644,1.16980920579177,0.196227136972535,5.9615057521606,2.49924118191199e-09,4.38627631061787e-08
"C3_01710C",315.554392287178,1.4775064010729,0.300856431690755,4.91100154571933,9.0612373753088e-07,8.94374969459167e-06
"C3_01780C",108.260125337729,1.3127491313667,0.281848706179274,4.65763759983948,3.19858630415144e-06,2.77089482109278e-05
"C3_01850W",804.963875636595,1.23187933318137,0.174099789596099,7.07570833967841,1.4868729052339e-12,5.32650352522026e-11
"C3_01930W",1239.4067836922,-1.08331403756321,0.314939962003822,-3.43974778770711,0.000582256513460373,0.00258098384986394
"C3_01970C",16.815419710859,2.65093817469078,0.933374462493887,2.8401657439906,0.0045090099483976,0.0150995723543047
"C3_02040C",512.02909366847,1.21608077917938,0.223928125993376,5.43067456928277,5.61414306581289e-08,7.35271640232269e-07
"C3_02060W",145.893580805233,1.46752864524875,0.392322113520657,3.74062178672342,0.000183565572849029,0.000962889180577596
"C3_02130W",1091.61877680566,1.10416846297873,0.203225398035069,5.43322081617077,5.53458479733341e-08,7.27983183925712e-07
"C3_02180C",803.49050331906,1.1430086540031,0.177151584129904,6.45215034128592,1.1027409879013e-10,2.61310996743927e-09
"C3_02390W",197.589714259122,-1.20275057730401,0.245346464227886,-4.90225355840815,9.47434351621358e-07,9.32128465488542e-06
"C3_02440C",185.623462123231,1.12109833192,0.271053634242798,4.1360756333404,3.53295788197374e-05,0.000231850361004527
